topic_name|topic_url|course_name
distributed computing|http://dbpedia.org/resource/Distributed_computing|Distributed System Design
scalability|http://dbpedia.org/resource/Scalability|Distributed System Design
concurrency|http://dbpedia.org/resource/Concurrent_computing|Distributed System Design
fault tolerance|http://dbpedia.org/resource/Fault_tolerance|Distributed System Design
Client-server|http://dbpedia.org/resource/Client–server_model|Distributed System Design
interprocess communication|http://dbpedia.org/resource/Inter-process_communication|Distributed System Design
communication|http://dbpedia.org/resource/Communication|Distributed System Design
remote procedure call|http://dbpedia.org/resource/Remote_procedure_call|Distributed System Design
CORBA|http://dbpedia.org/resource/Common_Object_Request_Broker_Architecture|Distributed System Design
server|http://dbpedia.org/resource/Web_server|Distributed System Design
concurrency control|http://dbpedia.org/resource/Concurrency_control|Distributed System Design
fault-tolerant|http://dbpedia.org/resource/Fault_tolerance|Distributed System Design
distributed systems|http://dbpedia.org/resource/Distributed_computing|Distributed System Design
Neumann|http://dbpedia.org/resource/Balthasar_Neumann|Parallel Programming
parallel processing|http://dbpedia.org/resource/Parallel_computing|Parallel Programming
message-passing|http://dbpedia.org/resource/Message_passing|Parallel Programming
massively parallel|http://dbpedia.org/resource/MIMD|Parallel Programming
commodity|http://dbpedia.org/resource/Commodity_computing|Parallel Programming
multi-core|http://dbpedia.org/resource/Multi-core_processor|Parallel Programming
heterogeneous computing|http://dbpedia.org/resource/Heterogeneous_computing|Parallel Programming
memory|http://dbpedia.org/resource/Computer_memory|Parallel Programming
load balancing|http://dbpedia.org/resource/Weight_distribution|Parallel Programming
message passing|http://dbpedia.org/resource/Message_passing|Parallel Programming
scalability|http://dbpedia.org/resource/Scalability|Parallel Programming
Parallel programming|http://dbpedia.org/resource/Parallel_computing|Parallel Programming
parallel programming|http://dbpedia.org/resource/Parallel_computing|Parallel Programming
traditional animation|http://dbpedia.org/resource/Traditional_animation|Animation for Computer Games
pipeline|http://dbpedia.org/resource/Graphics_pipeline|Animation for Computer Games
interpolation|http://dbpedia.org/resource/Interpolation|Animation for Computer Games
inverse kinematics|http://dbpedia.org/resource/Inverse_kinematics|Animation for Computer Games
motion control|http://dbpedia.org/resource/Motion_control|Animation for Computer Games
Machine Learning|http://dbpedia.org/resource/Machine_learning|Machine Learning
machine learning|http://dbpedia.org/resource/Machine_learning|Machine Learning
polynomial regression|http://dbpedia.org/resource/Polynomial_regression|Machine Learning
overfitting|http://dbpedia.org/resource/Overfitting|Machine Learning
model selection|http://dbpedia.org/resource/Model_selection|Machine Learning
